likes,engagement,comments_ratio,followers,following,hour,time_of_day_bin,weekend,caption_length,hashtag,tag,location,video,multiple_images
15895,0.046657645307963944,1.8199270267969578e-4,340673,664,3,Night (9pm–4am),0,9,0,0,1,0,1
3653,0.005029809850331144,3.9930053561347705e-5,726270,360,2,Night (9pm–4am),0,58,1,1,1,0,1
5996,0.002814159408331902,0.0030572772491450984,2130654,573,16,Afternoon (12–4pm),0,22,0,0,0,0,0
978,0.0016464064401763574,2.8618516853781263e-5,594021,1402,5,Morning (5–11am),0,688,1,0,1,1,0
96554,0.02849655679640548,2.756569800095565e-4,3388269,985,19,Evening (5–8pm),1,125,0,1,0,0,0
12420,0.010851862466186225,1.1708128586706556e-4,1144504,1136,12,Afternoon (12–4pm),0,1674,1,1,1,1,0
1459,5.465956903983105e-4,5.0576023443298096e-5,2669249,2811,17,Evening (5–8pm),0,2056,1,1,0,0,0
610,0.001355537481722466,2.7332968893748085e-4,450006,1886,18,Evening (5–8pm),0,626,0,0,0,1,0
252,0.004856801449331226,3.083683459892842e-4,51886,402,4,Night (9pm–4am),0,216,1,1,1,1,0
5582,0.004796740072887763,5.070004734868829e-5,1163707,486,20,Evening (5–8pm),1,45,0,0,1,0,1
618,0.005478723404255319,3.900709219858156e-4,112800,406,8,Morning (5–11am),0,359,1,0,0,0,1
14,5.497741998821913e-4,1.570783428234832e-4,25465,659,0,Night (9pm–4am),0,171,0,0,0,1,0
9841,0.009846799765061622,1.1206600687805117e-4,999411,5530,19,Evening (5–8pm),0,90,1,0,1,1,0
138,4.2564741588836934e-4,6.168803128816947e-6,324212,694,22,Night (9pm–4am),0,247,1,0,0,0,1
2305,0.0020426357001322175,2.1268224209619617e-5,1128444,386,19,Evening (5–8pm),1,24,0,0,0,1,0
408,0.004256917490922749,1.1476983431409374e-4,95844,426,19,Evening (5–8pm),0,24,0,0,1,0,0
549,0.0023101879710321787,2.1039963306303994e-5,237643,623,17,Evening (5–8pm),0,429,1,0,1,0,0
33794,0.0053323663941943255,1.3254387675691642e-5,6337524,563,18,Evening (5–8pm),1,201,0,0,1,0,1
6851,0.013130834941705687,1.1691445503489225e-4,521749,1394,13,Afternoon (12–4pm),0,51,0,1,1,0,0
3071,0.006537589543262834,6.173562251860052e-5,469745,1220,14,Afternoon (12–4pm),0,122,1,0,0,1,0
1663,0.004232941601696231,2.010838163162972e-4,392871,1721,18,Evening (5–8pm),0,140,0,0,1,1,0
3245,0.00262931872690737,9.642185778181111e-5,1234160,724,10,Morning (5–11am),0,44,1,0,0,0,1
45651,0.0049287101713069844,2.2132824803792506e-5,9262261,882,15,Afternoon (12–4pm),0,415,1,1,1,0,1
2,0.2,0,10,16,0,Night (9pm–4am),0,50,1,0,0,0,0
2482,0.00781921914921099,2.0792444151810047e-4,317423,1137,1,Night (9pm–4am),0,33,1,0,0,1,0
16255,0.01329923231807542,4.328079911572991e-4,1222251,362,13,Afternoon (12–4pm),1,353,1,1,1,0,1
566,2.8912659249496835e-4,5.619068052022354e-6,1957620,11,10,Morning (5–11am),0,39,0,0,0,1,0
2586,0.0135748031496063,7.874015748031496e-5,190500,2536,23,Night (9pm–4am),1,33,0,1,1,0,0
4223,0.004146444200722068,4.222048321833979e-5,1018463,1849,9,Morning (5–11am),0,134,0,1,0,0,1
895,0.0018833223911250273,4.208541656145313e-6,475224,326,15,Afternoon (12–4pm),1,906,1,0,1,0,1
4156,0.02862534955160966,2.892840907525519e-4,145186,320,18,Evening (5–8pm),0,483,1,1,1,0,0
4169,0.019346246299200905,3.387565315043574e-4,215494,45,13,Afternoon (12–4pm),1,88,0,0,0,1,0
1377,0.004900861654761523,9.25362403949162e-5,280971,2263,6,Morning (5–11am),0,72,1,1,0,0,0
2574,0.0026764574683457434,2.49553143901701e-5,961719,442,19,Evening (5–8pm),0,1582,0,1,1,0,1
1556,0.002280063947294769,3.663341817632983e-5,682437,216,20,Evening (5–8pm),0,18,0,0,1,1,0
505,0.0034226382101974285,1.3555002812663083e-5,147547,380,16,Afternoon (12–4pm),1,10,0,0,1,0,0
313,0.0022439688855432484,1.8639997132308134e-4,139485,1530,0,Night (9pm–4am),0,172,1,1,0,1,0
9387,0.008980042436846969,4.209245416227406e-5,1045318,1994,11,Morning (5–11am),0,442,0,0,0,0,1
29,0.06904761904761905,0,420,5,17,Evening (5–8pm),0,472,0,1,0,0,0
1837,0.013180458194915801,4.950743687801798e-4,139373,5513,18,Evening (5–8pm),0,434,1,1,0,0,0
7026,0.010852976613426426,1.7454972350088046e-4,647380,634,19,Evening (5–8pm),1,1011,1,0,1,0,1
67,2.7795293883375925e-4,1.2445653977631011e-5,241048,1438,18,Evening (5–8pm),0,146,1,1,0,1,0
2970,0.0026869414644826147,1.1761023245210096e-5,1105346,869,8,Morning (5–11am),1,42,0,0,0,0,1
97,6.827235743746393e-4,7.038387364687003e-6,142078,747,12,Afternoon (12–4pm),0,55,1,0,1,0,0
1003,0.0033085385363922745,8.246606521416437e-5,303155,190,16,Afternoon (12–4pm),1,159,1,0,0,1,0
35267,0.013753119283263874,7.33146121091561e-5,2564291,2362,15,Afternoon (12–4pm),1,11,0,0,1,1,0
2113,0.017240957268862652,6.772358983982963e-4,122557,272,2,Night (9pm–4am),0,55,0,0,0,0,1
28229,0.0038501080605269885,2.05946479556334e-5,7332002,1082,19,Evening (5–8pm),0,754,1,1,0,1,0
298,2.897107947408741e-4,0,1028612,1160,12,Afternoon (12–4pm),0,308,1,1,0,1,0
14762,0.027633689814546156,2.807921333275927e-4,534203,1104,13,Afternoon (12–4pm),1,39,1,1,1,0,0
40,0.00398247710075667,0,10044,27,5,Morning (5–11am),0,27,0,0,0,0,0
1572,0.006362775335745683,3.683285976799346e-4,247062,1610,20,Evening (5–8pm),0,1557,0,0,0,1,0
1872,0.001563184989415935,7.5153124491150716e-6,1197555,21,11,Morning (5–11am),0,251,0,1,1,1,0
12975,0.006479329565418008,6.641624910987246e-5,2002522,683,16,Afternoon (12–4pm),0,21,0,0,1,0,1
1009,0.006117338927252775,2.4251095846393558e-5,164941,2106,15,Afternoon (12–4pm),0,16,0,0,0,0,1
5657,0.002076409826113065,2.2023084597274863e-5,2724414,36,16,Afternoon (12–4pm),1,152,1,1,0,1,0
3905,0.0023959362957045554,4.2335366044459494e-5,1629843,1121,16,Afternoon (12–4pm),1,131,1,0,1,0,0
1163,0.003123053126812606,1.0741369309759609e-5,372392,267,1,Night (9pm–4am),1,47,0,0,0,0,0
165,0.003147293327738145,3.814901003318964e-5,52426,289,20,Evening (5–8pm),0,71,1,0,1,0,0
460,0.001984546423286495,1.337411720040899e-4,231791,801,18,Evening (5–8pm),0,1375,1,1,1,0,1
9312,0.027593318576597237,1.9557120125165568e-4,337473,5266,8,Morning (5–11am),0,17,0,0,0,0,1
2587,4.3953168722741647e-4,2.548502245230478e-6,5885810,1274,16,Afternoon (12–4pm),0,22,0,0,0,1,0
46522,0.0036251811148963137,8.026173742193378e-6,12833014,623,22,Night (9pm–4am),1,17,0,0,1,0,1
67,1.2166422127634847e-4,7.2635355985879685e-6,550696,5,22,Night (9pm–4am),0,384,1,1,0,1,0
599,4.756225573724672e-4,2.3820829250707875e-5,1259402,2409,9,Morning (5–11am),0,286,1,1,0,1,0
387,0.004187677191767481,1.0820871296556799e-4,92414,1487,19,Evening (5–8pm),0,9,0,0,1,0,1
1020,4.8510351728585534e-4,7.133875254203755e-6,2102644,12,16,Afternoon (12–4pm),0,32,0,1,0,1,0
586,0.0011434838009713759,1.951337544319754e-6,512469,13,14,Afternoon (12–4pm),0,69,0,1,0,1,0
1145,0.0033535522758758045,1.405855975913001e-4,341429,2891,2,Night (9pm–4am),0,120,1,0,1,1,0
49563,0.016736233542095868,1.0231581549250545e-4,2961419,696,13,Afternoon (12–4pm),0,140,0,1,1,1,0
2387,0.0022720826059559594,1.1422283733335363e-5,1050578,955,14,Afternoon (12–4pm),0,594,0,1,1,0,1
720,0.002149760689834319,6.568713218938197e-5,334921,994,17,Evening (5–8pm),0,708,1,0,1,0,1
1810,0.0018824518050736755,2.1840601053340987e-5,961512,19,9,Morning (5–11am),1,301,1,1,0,1,0
88,6.882635423673138e-4,7.821176617810383e-5,127858,372,17,Evening (5–8pm),0,542,1,1,0,1,0
3709,0.005094024512846995,7.279139907815873e-5,728108,765,8,Morning (5–11am),1,371,0,0,1,0,0
5320,0.008228479510003325,3.108880416373437e-4,646535,2225,18,Evening (5–8pm),0,33,0,0,0,1,0
3437,6.410093818259945e-4,6.527590446293224e-6,5361856,90,14,Afternoon (12–4pm),0,35,0,0,1,1,0
2492,0.002252254287823999,5.061245590615728e-5,1106447,130,14,Afternoon (12–4pm),1,173,1,1,0,0,1
188309,0.013540507335612939,7.355962277072279e-5,13907086,6111,3,Night (9pm–4am),0,102,0,0,0,0,1
1682,0.001281948683944774,5.0302385933623716e-5,1312065,93,18,Evening (5–8pm),1,547,1,1,1,0,1
98,0.002201505110636864,1.5725036504549028e-4,44515,6431,11,Morning (5–11am),1,281,1,1,0,1,0
255,7.796305468420377e-4,1.5286873467490935e-5,327078,424,21,Night (9pm–4am),0,167,1,0,1,1,0
20,0.03616636528028933,0.003616636528028933,553,1078,2,Night (9pm–4am),1,96,0,1,1,0,0
1428,0.0029350708075555464,6.371652313320864e-5,486530,2058,19,Evening (5–8pm),1,13,1,0,0,1,0
3672,5.381815005385479e-4,9.233506136690772e-6,6822977,1369,1,Night (9pm–4am),0,28,0,0,0,1,0
9381,0.0010449105471472863,1.5259859818695044e-5,8977802,240,23,Night (9pm–4am),0,106,0,1,0,1,0
9008,0.0019156085948900375,1.2972038664330849e-5,4702422,719,10,Morning (5–11am),0,56,0,1,0,1,0
411,0.0019939453920940794,2.425724321282335e-5,206124,907,9,Morning (5–11am),0,20,0,1,1,1,0
984,0.004536380945355972,3.6881145897203025e-5,216913,742,1,Night (9pm–4am),0,50,0,0,1,0,0
45427,0.02038139001914443,7.268332012022359e-5,2228847,305,16,Afternoon (12–4pm),0,2043,0,0,0,0,0
867,0.0018147984568980134,3.9770669759010676e-5,477739,4327,20,Evening (5–8pm),1,1092,1,1,1,0,0
129,0.0011414414015838605,1.0618059549617307e-4,113015,2060,4,Night (9pm–4am),0,18,0,1,0,0,1
109,2.400717131649601e-4,1.1012463906649546e-5,454031,83,5,Morning (5–11am),0,477,1,1,0,0,1
257,1.3465515443688734e-4,5.763450189905684e-6,1908579,182,13,Afternoon (12–4pm),0,105,0,0,0,1,0
65,8.147446214320452e-5,1.2534532637416082e-6,797796,13,14,Afternoon (12–4pm),0,144,0,1,0,0,1
1311,6.482025358513851e-4,7.762608552911324e-5,2022516,615,22,Night (9pm–4am),0,249,1,1,0,1,0
1145,0.007981430104978461,8.155697137838253e-4,143458,1093,20,Evening (5–8pm),0,100,1,1,1,0,1
2995,0.002129686911136236,1.0239563111973889e-4,1406310,400,22,Night (9pm–4am),0,2,0,0,0,0,1
56530,0.07600110243948346,1.532659769697703e-4,743805,2063,16,Afternoon (12–4pm),1,89,0,1,1,0,1
27372,0.1617883487800265,0.005307830527709476,169184,653,17,Evening (5–8pm),1,235,0,0,1,0,0
1181,7.5711097733988e-4,2.1027298947288794e-4,1559877,1486,1,Night (9pm–4am),0,1785,0,0,1,1,0
20126,0.0069609909883424324,3.804576213443643e-5,2891255,548,12,Afternoon (12–4pm),0,21,0,0,0,0,1
1741,0.004142013242071054,3.8065601305650124e-5,420327,658,17,Evening (5–8pm),0,325,1,1,0,0,0
3614,0.003585580687471104,2.0834862876838182e-5,1007926,1296,5,Morning (5–11am),0,147,1,1,1,0,1
